Author	n (strains)	publication title	journal	publication URL	strains
Antonin Bal et al	7	unknown	unknown	unknown	hCoV-19/France/ARA-SC137/2020,hCoV-19/France/OCC-HCL021108507301/2021,hCoV-19/France/ARA-HCL021087010201/2021,hCoV-19/France/ARA-HCL021051803601/2021,hCoV-19/France/ARA-HCL722003169501/2022,hCoV-19/France/PAC-HCL723000930701/2023,hCoV-19/France/ARA-HCL-723000370701/2023
Antonio Grimaldi et al	1	unknown	unknown	unknown	hCoV-19/Italy/CAM-TIGEM-630/2020
Andrea Vergara et al	1	unknown	unknown	unknown	hCoV-19/Spain/CT-IBV-005637/2020
Kalaiarasan Ponnusamy et al	8	unknown	unknown	unknown	hCoV-19/India/RJ-NCDC-1809321/2020,hCoV-19/India/MP-NCDC-190932/2021,hCoV-19/India/JK-NCDC-450946/2021,hCoV-19/India/HP-NCDC-6309284/2021,hCoV-19/India/DL-NCDC-5909356/2021,hCoV-19/India/HP-NCDC-6309267/2021,hCoV-19/India/PB-NCDC-4509331/2021,hCoV-19/India/PB-NCDC-2709228/2021
Sujay Krishna Maity et al	1	unknown	unknown	unknown	hCoV-19/India/WB-IICB-049/2020
Enatha Mukantwari et al	1	unknown	unknown	unknown	hCoV-19/Rwanda/AF37991-RD/2020
Aline Campos et al	1	unknown	unknown	unknown	hCoV-19/Brazil/RS-32082/2020
Catherine Anscombe et al	5	unknown	unknown	unknown	hCoV-19/Malawi/MLW-00023/2020,hCoV-19/Malawi/MLW-00249/2021,hCoV-19/Malawi/MLW-00254/2021,hCoV-19/Malawi/MLW-00024/2020,hCoV-19/Malawi/MLW-00419/2022
Dr. Gaurav Dalela et al	2	unknown	unknown	unknown	hCoV-19/India/RJ-CCMB-CIA6232/2021,hCoV-19/India/RJ-CCMB-CIA6253/2021
Wojciech Branicki et al	1	unknown	unknown	unknown	hCoV-19/Poland/PL_P9/2020
Belén Prado-Vivar et al	1	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-150/2020
Krishanpal Karmodiya et al	3	unknown	unknown	unknown	hCoV-19/India/MH-RFIP02055/2021,hCoV-19/India/MH-RFIP03412/2021,hCoV-19/India/MH-RFIP08823/2021
Uma Ramakrishnan Dasaradhi Palakodeti Aswin SaiNarain et al	4	unknown	unknown	unknown	hCoV-19/India/TN-CL_749_S13_R1_001/2021,hCoV-19/India/TN-C_39_S2_R1_001/2021,hCoV-19/India/TN-CL-1091_S192_R1_001/2021,hCoV-19/India/KA-SEQ-4252_S80_R1_001/2021
Dakota Howard et al	41	unknown	unknown	unknown	hCoV-19/USA/IL-CDC-ASC210061778/2021,hCoV-19/USA/FL-CDC-ASC210235032/2021,hCoV-19/USA/CA-CDC-QDX25990138/2021,hCoV-19/USA/MD-CDC-LC0342476/2021,hCoV-19/USA/MD-CDC-LC0229342/2021,hCoV-19/USA/TX-CDC-ASC210519506/2021,hCoV-19/USA/MO-CDC-ASC210183669/2021,hCoV-19/USA/TN-CDC-QDX28782184/2021,hCoV-19/USA/NY-CDC-QDX27248967/2021,hCoV-19/USA/PA-CDC-LC0293330/2021,hCoV-19/USA/WA-CDC-LC0083864/2021,hCoV-19/USA/MI-CDC-ASC210069881/2021,hCoV-19/USA/CA-CDC-ASC210070236/2021,hCoV-19/USA/PA-CDC-STM-000043619/2021,hCoV-19/USA/PA-CDC-MMB14130518/2022,hCoV-19/USA/CA-CDC-STM-X4N39GC5R/2022,hCoV-19/USA/IL-CDC-ASC210731567/2022,hCoV-19/USA/NH-CDC-ASC210546857/2022,hCoV-19/USA/OH-CDC-QDX35374855/2022,hCoV-19/USA/IN-CDC-LC0734991/2022,hCoV-19/USA/MI-CDC-STM-3MNW6S96T/2022,hCoV-19/USA/IL-CDC-QDX42257598/2022,hCoV-19/USA/CA-CDC-LC0785660/2022,hCoV-19/USA/IL-CDC-STM-WRQ9VS6VT/2022,hCoV-19/USA/UT-CDC-LC0945520/2022,hCoV-19/USA/RI-CDC-LC0818519/2022,hCoV-19/USA/VA-CDC-LC0889906/2022,hCoV-19/USA/CA-CDC-QDX41890328/2022,hCoV-19/USA/GA-CDC-STM-EPYUU3A2N/2022,hCoV-19/USA/ME-CDC-ASC210738850/2022,hCoV-19/USA/TX-CDC-QDX36262431/2022,hCoV-19/USA/TX-CDC-QDX35823921/2022,hCoV-19/USA/NJ-CDC-LC0690206/2022,hCoV-19/USA/NJ-CDC-QDX90479510/2023,hCoV-19/USA/FL-CDC-LC1121114/2024,hCoV-19/USA/NJ-CDC-LC1122293/2024,hCoV-19/USA/WV-CDC-LC0987807/2023,hCoV-19/USA/WV-CDC-LC1024947/2023,hCoV-19/USA/FL-CDC-QDX47272087/2023,hCoV-19/USA/CA-CDC-LC1043960/2023,hCoV-19/USA/NY-CDC-QDX85474674/2023
CIDM-PH et al.	1	unknown	unknown	unknown	hCoV-19/Australia/NSW1571/2021
Abay Sisay et al	15	unknown	unknown	unknown	hCoV-19/Ethiopia/CERI-KRISP-K024753/2021,hCoV-19/Ethiopia/CERI-KRISP-K025761/2021,hCoV-19/Ethiopia/CERI-KRISP-K025833/2021,hCoV-19/Ethiopia/CERI-KRISP-K024741/2021,hCoV-19/Ethiopia/CERI-KRISP-K025429/2021,hCoV-19/Ethiopia/CERI-KRISP-K024788/2021,hCoV-19/Ethiopia/CERI-KRISP-K024800/2021,hCoV-19/Ethiopia/CERI-KRISP-K024781/2021,hCoV-19/Ethiopia/ILRI_COVM02874/2021,hCoV-19/Ethiopia/ILRI_COVM02969/2022,hCoV-19/Ethiopia/ILRI_COVM02926/2022,hCoV-19/Ethiopia/ILRI_COVM02791/2022,hCoV-19/Ethiopia/ILRI_COVM02878/2021,hCoV-19/Ethiopia/ILRI_COVM02919/2021,hCoV-19/Ethiopia/ILRI_COVM02820/2022
Mahesh S Dhar et al	4	unknown	unknown	unknown	hCoV-19/India/PB-NCDC-5109225/2021,hCoV-19/India/MP-NCDC-410924/2021,hCoV-19/India/PB-NCDC-5309285/2021,hCoV-19/India/CH-NCDC-3809213/2021
Yu-Chi Lin et al	7	unknown	unknown	unknown	hCoV-19/Taiwan/16163/2021,hCoV-19/Taiwan/CDC-F78791/2023,hCoV-19/Taiwan/CDC-F91840/2024,hCoV-19/Taiwan/CDC-W28071/2023,hCoV-19/Taiwan/CDC-F88509/2023,hCoV-19/Taiwan/CDC-F85804/2023,hCoV-19/Taiwan/CDC-F89801/2023
Yanjun Zhang et al	1	unknown	unknown	unknown	hCoV-19/Zhejiang/zhoushan37/2021
Mai-Juan Ma et al	1	unknown	unknown	unknown	hCoV-19/Zhejiang/Zhoushan-309/2021
Li Fan et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/104255/2021
Mojnu Miah et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/icddrb-GSB08-052/2021
Laila Anjuman Banu et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BSMMU_LB_150/2021
Allan Campbell et al	1	unknown	unknown	unknown	hCoV-19/SierraLeone/CPHRL-004/2021
Allan K.O. Campbell et al	2	unknown	unknown	unknown	hCoV-19/SierraLeone/CPHRL-114/2021,hCoV-19/SierraLeone/CPHRL-094/2021
Surakameth Mahasirimongkol et al	12	unknown	unknown	unknown	hCoV-19/Thailand/DMSc-03503/2021,hCoV-19/Thailand/DMSc-02738/2021,hCoV-19/Thailand/DMSc-06065/2021,hCoV-19/Thailand/DMSc-00061/2021,hCoV-19/Thailand/DMSc-02195/2021,hCoV-19/Thailand/DMSc-01285/2021,hCoV-19/Thailand/DMSc-07806/2022,hCoV-19/Thailand/DMSc-12810/2022,hCoV-19/Thailand/DMSc-13964/2022,hCoV-19/Thailand/DMSc-09565/2022,hCoV-19/Thailand/DMSc-10368/2022,hCoV-19/Thailand/DMSc-09905/2022
Zhaomin Feng et al	14	unknown	unknown	unknown	hCoV-19/Beijing/BJCDC-127/2022,hCoV-19/Beijing/BJCDC-265/2022,hCoV-19/Beijing/BJCDC-2075/2022,hCoV-19/Beijing/BJCDC-2806/2022,hCoV-19/Beijing/BJCDC-2388/2022,hCoV-19/Beijing/BJCDC-2102/2022,hCoV-19/Beijing/BJCDC-364/2022,hCoV-19/Beijing/BJCDC-860/2022,hCoV-19/Beijing/BJCDC-1524/2022,hCoV-19/Beijing/BJCDC-734/2022,hCoV-19/Beijing/BJCDC-1268/2022,hCoV-19/Beijing/BJCDC-1348/2022,hCoV-19/Beijing/BJCDC-1602/2022,hCoV-19/Beijing/BJCDC-277/2022
Yang Pan et al	20	unknown	unknown	unknown	hCoV-19/Beijing/BJCDC-134/2022,hCoV-19/Beijing/BJCDC-220/2020,hCoV-19/Beijing/BJCDC-225/2020,hCoV-19/Beijing/BJCDC-222/2020,hCoV-19/env/Beijing/BJCDC-224/2020,hCoV-19/env/Beijing/BJCDC-223/2020,hCoV-19/Beijing/BJCDC-305/2022,hCoV-19/Beijing/BJCDC-2526/2022,hCoV-19/Beijing/BJCDC-2750/2022,hCoV-19/Beijing/BJCDC-1778/2022,hCoV-19/Beijing/BJCDC-381/2022,hCoV-19/Beijing/BJCDC-383/2022,hCoV-19/Beijing/BJCDC-428/2022,hCoV-19/Beijing/BJCDC-1048/2022,hCoV-19/Beijing/BJCDC-645/2022,hCoV-19/Beijing/BJCDC-893/2022,hCoV-19/Beijing/BJCDC-749/2022,hCoV-19/Beijing/BJCDC-1558/2022,hCoV-19/Beijing/BJCDC-1557/2022,hCoV-19/Beijing/BJCDC-342/2022
Shujuan Cui et al	6	unknown	unknown	unknown	hCoV-19/Beijing/BJCDC-155/2022,hCoV-19/Beijing/BJCDC-315/2022,hCoV-19/Beijing/BJCDC-2423/2022,hCoV-19/Beijing/BJCDC-1894/2022,hCoV-19/Beijing/BJCDC-758/2022,hCoV-19/Beijing/BJCDC-1692/2022
Khine Zaw Oo et al	7	unknown	unknown	unknown	hCoV-19/Myanmar/DSMRC036/2021,hCoV-19/Myanmar/DSMRC041/2021,hCoV-19/Myanmar/DSMRC044/2021,hCoV-19/Myanmar/DSMRC014/2021,hCoV-19/Myanmar/DSMRC-066/2022,hCoV-19/Myanmar/DSMRC-093/2022,hCoV-19/Myanmar/DSMRC-079/2022
EL Hamouchi Adil et al	7	unknown	unknown	unknown	hCoV-19/Mauritania/IPM-60/2021,hCoV-19/Morocco/20358732/2021,hCoV-19/Mauritania/IPM-88/2021,hCoV-19/Mauritania/IPM-31/2021,hCoV-19/Morocco/IPM20417653/2022,hCoV-19/Morocco/IPM20434786/2023,hCoV-19/Morocco/IPM20436002/2023
Bode Shobayo et al	3	unknown	unknown	unknown	hCoV-19/Liberia/LIB-0233/2021,hCoV-19/Liberia/LIB-0032/2021,hCoV-19/Liberia/LIB-0152/2021
Chang Shu et al	3	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HEB-345/2021,hCoV-19/Heilongjiang/IVDC-HH-360/2021,hCoV-19/Heilongjiang/IVDC-HH-369/2021
Qi Liang et al	12	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HEB-282/2021,hCoV-19/Heilongjiang/IVDC-HEB-227/2021,hCoV-19/Heilongjiang/IVDC-HH-415/2021,hCoV-19/Heilongjiang/IVDC-HH-495/2021,hCoV-19/Heilongjiang/IVDC-HH-414/2021,hCoV-19/Heilongjiang/IVDC-HEB-275/2021,hCoV-19/Heilongjiang/IVDC-HEB-244/2021,hCoV-19/Heilongjiang/IVDC-SH/240/2021,hCoV-19/Heilongjiang/IVDC-SH/239/2021,hCoV-19/Heilongjiang/IVDC-HEB-270/2021,hCoV-19/Heilongjiang/IVDC-HEB-246/2021,hCoV-19/Heilongjiang/IVDC-SH/271/2021
Pham Ngoc Thach et al	12	unknown	unknown	unknown	hCoV-19/Vietnam/VN5937/2021,hCoV-19/Vietnam/NHTD-OUCRU1121/2021,hCoV-19/Vietnam/NHTD-OUCRU1450/2021,hCoV-19/Vietnam/NHTD-OUCRU1519/2021,hCoV-19/Vietnam/NHTD-OUCRU2848/2022,hCoV-19/Vietnam/VN5904/2021,hCoV-19/Vietnam/HD_219/2021,hCoV-19/Vietnam/HN_Alpha_207/2021,hCoV-19/Vietnam/NHTD-OUCRU2459/2022,hCoV-19/Vietnam/NHTD-OUCRU3001/2022,hCoV-19/Vietnam/NHTD-OUCRU3829/2023,hCoV-19/Vietnam/NHTD-OUCRU3808/2023
Pham Xuan Huy et al	3	unknown	unknown	unknown	hCoV-19/Vietnam/HCMC_b01_79.11/2021,hCoV-19/Vietnam/HCMC_b03.03_15.05/2021,hCoV-19/Vietnam/HCMC_b01_75.5/2021
Hang Pham Thi Thu et al	3	unknown	unknown	unknown	hCoV-19/Vietnam/PIHCM_228/2021,hCoV-19/Vietnam/PIHCM_2774/2022,hCoV-19/Vietnam/PIHCM_1566/2022
Nguyen Van Vinh Chau et al	5	unknown	unknown	unknown	hCoV-19/Vietnam/410112/2021,hCoV-19/Vietnam/HCMC-S01-M189/2023,hCoV-19/Vietnam/HCMC-S12-M189/2023,hCoV-19/Vietnam/OUCRU-S43-M160/2022,hCoV-19/Vietnam/HCMC-M170-S03/2023
Nhung Vu Pham Hong et al	3	unknown	unknown	unknown	hCoV-19/Vietnam/PIHCM_075/2021,hCoV-19/Vietnam/PIHCM_3322/2022,hCoV-19/Vietnam/PIHCM_866/2023
Inoka C. Perera et al	1	unknown	unknown	unknown	hCoV-19/SriLanka/idea_uoc_00105/2021
Francisco Gerardo M. Polotan et al	5	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-590/2021,hCoV-19/Philippines/PH-RITM-919/2021,hCoV-19/Philippines/PH-RITM-2371/2022,hCoV-19/Philippines/PH-RITM-3779/2022,hCoV-19/Philippines/PH-RITM-4434/2023
Lin Qi et al	21	unknown	unknown	unknown	hCoV-19/Fujian/2021BD-VIR-SPE-0599/2021,hCoV-19/Fujian/KT-VIR-SPE-0047/2021,hCoV-19/Fujian/BD-VIR-SPE-0617/2021,hCoV-19/Fujian/BD-VIR-SPE-0869/2021,hCoV-19/Fujian/BD-VIR-SPE-0766/2021,hCoV-19/Fujian/BD-VIR-SPE-0923/2021,hCoV-19/Fujian/KT-VIR-SPE-0040/2021,hCoV-19/Fujian/BD-VIR-SPE-0747/2021,hCoV-19/Fujian/KT-VIR-SPE-0045/2021,hCoV-19/Fujian/KT-VIR-SPE-0041/2021,hCoV-19/Fujian/BD-VIR-SPE-0772/2021,hCoV-19/Fujian/2021BD-VIR-SPE-0592/2021,hCoV-19/Fujian/2021BD-VIR-SPE-0414/2021,hCoV-19/Fujian/2021KT-VIR-SPE-0004/2021,hCoV-19/Fujian/2021BD-VIR-SPE-1270/2021,hCoV-19/Fujian/2021BD-VIR-SPE-0583/2021,hCoV-19/Fujian/2021BD-VIR-SPE-0455/2021,hCoV-19/Fujian/2021BD-VIR-SPE-0454/2021,hCoV-19/Fujian/2021KT-VIR-SPE-0027/2021,hCoV-19/Fujian/TH-H210159/2021,hCoV-19/Fujian/FCDC-FZLG00797/2023
A.R. Bukhari et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/AKU-S2/2021
Fatimah S. Alhamlan et al	2	unknown	unknown	unknown	hCoV-19/SaudiArabia/KFSHRC_011S/2021,hCoV-19/SaudiArabia/KFSHRC_IonXpress_014/2021
Fadilah et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KR-GS-FKUINIHRD-0010/2021
Chan Chia Jui et al	4	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-B12175/2021,hCoV-19/Malaysia/UNIMAS-GHML573/2021,hCoV-19/Malaysia/UNIMAS-16855/2021,hCoV-19/Malaysia/UNIMAS-B19642/2023
Bratati Kahali et al	7	unknown	unknown	unknown	hCoV-19/India/TN-CBR-SEQ-7952/2021,hCoV-19/India/KA-INSACOG-CBR-S-8087/2021,hCoV-19/India/TN-CBR-CL1096/2021,hCoV-19/India/TN-INSACOG-CBR-S-7745/2021,hCoV-19/India/KA-INSACOG-CBR-1602UK070/2022,hCoV-19/India/KA-INSACOG-CBR-0902MURT036/2022,hCoV-19/India/KA-INSACOG-CBR-1702YGR003/2022
Priyanka Ananta Mulay et al	3	unknown	unknown	unknown	hCoV-19/India/KA-SLS-6342/2021,hCoV-19/India/KA-SLS-15200/2021,hCoV-19/India/KA-SLS-SEQ-4031/2021
INSACOG et al	4	unknown	unknown	unknown	hCoV-19/India/RJ-IGIB-C_233756/2021,hCoV-19/India/RJ-IGIB-0811700363417/2021,hCoV-19/India/PB-IGIB-CV_19/2021,hCoV-19/India/PB-IGIB-SBS1053798/2021
Claudia Wong-Arambula et al	8	unknown	unknown	unknown	hCoV-19/Mexico/BCN_InDRE_FB30681_S6380/2021,hCoV-19/Mexico/SON_InDRE_FB49849_S9172/2021,hCoV-19/Mexico/MOR-InDRE_F11256_S1030/2021,hCoV-19/Mexico/GUA-InDRE_F10854_S783/2021,hCoV-19/Mexico/VER_InDRE_FB21678_E30319164338_S15107/2022,hCoV-19/Mexico/CHH_InDRE_FB989/2024,hCoV-19/Mexico/MIC_InDRE_FB2697/2023,hCoV-19/Mexico/ROO_InDRE_FB3490/2023
SEARCH Alliance with Abraham Campos Romero et al	1	unknown	unknown	unknown	hCoV-19/Mexico/BCN-SEARCH-116656/2021
Epidemic Intelligence Team et al	2	unknown	unknown	unknown	hCoV-19/Nepal/EPN-K2111/2021,hCoV-19/Nepal/EPN-K2196/2021
Long Chen et al	2	unknown	unknown	unknown	hCoV-19/Shenzhen/IVDC-0610-02/2021,hCoV-19/Guangdong/IVDC-05-07/2021
Air Comodor Dr J. Chimedza et al	3	unknown	unknown	unknown	hCoV-19/Zimbabwe/CERI-KRISP-K021551/2021,hCoV-19/Zimbabwe/CERI-KRISP-K027285/2021,hCoV-19/Zimbabwe/CERI-KRISP-K027282/2021
Danijela Vujošević et al	1	unknown	unknown	unknown	hCoV-19/Montenegro/CO-00421_MNE000_2921642102/2021
Adelaide Milani et al	4	unknown	unknown	unknown	hCoV-19/Italy/VEN-IZSVe-21RS8087-3_PD/2021,hCoV-19/Italy/VEN-IZSVe-22RS8357-3_VI/2022,hCoV-19/Italy/VEN-IZSVe-22RS8328-2_VR/2022,hCoV-19/Italy/VEN-IZSVe-24RS8019-2_VI/2024
Doris Harding et al	1	unknown	unknown	unknown	hCoV-19/SierraLeone/CPHRL-22/2021
Aurel Allabi et al	3	unknown	unknown	unknown	hCoV-19/Benin/MTMC_35_126/2021,hCoV-19/Benin/MTMC_35_028/2021,hCoV-19/Benin/MTMC_35_094/2021
Mathiew Hota et al	4	unknown	unknown	unknown	hCoV-19/Chad/20220316_49670/2021,hCoV-19/Chad/20220316_49744/2021,hCoV-19/Chad/20220301_54170/2022,hCoV-19/Chad/20220301_53905/2022
Uma Ramakrishnan et al	4	unknown	unknown	unknown	hCoV-19/India/KA-5661_S212_R1_001/2021,hCoV-19/India/TN-SEQ_5107_S207_R1_001/2021,hCoV-19/India/KA_5361_S78_R1_001/2021,hCoV-19/India/TN-SS-818_S271_R1_001/2021
Sumedha Avadhanula et al	2	unknown	unknown	unknown	hCoV-19/India/TG-CCMB-CIA5193/2021,hCoV-19/India/AP-CCMB-CIB9961/2021
Nihad Al-Rashedi et al	4	unknown	unknown	unknown	hCoV-19/Iraq/Child-31/2021,hCoV-19/Iraq/BDCSAU-95/2021,hCoV-19/Iraq/Samawa-65/2021,hCoV-19/Iraq/Samawa-3/2020
Dr. Rame Hamdi khasawneh et al	2	unknown	unknown	unknown	hCoV-19/Jordan/RMSR7S3/2021,hCoV-19/Jordan/RMSR14S89/2023
AlSafar et al.	2	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/BTC-6190/2021,hCoV-19/UnitedArabEmirates/BTC-6037/2021
Dhiraj Dhotre et al	2	unknown	unknown	unknown	hCoV-19/India/MH-NCCS-2748700561291/2021,hCoV-19/India/MH-NCCS-319934777/2021
Hailu et al	5	unknown	unknown	unknown	hCoV-19/Ethiopia/EPHI-481-08/2022,hCoV-19/Ethiopia/EPHI-3372-08/2022,hCoV-19/Ethiopia/EPHI-1087-07/2022,hCoV-19/Ethiopia/EPHI-3426-08/2022,hCoV-19/Ethiopia/EPHI-3290-07/2022
Bharti Malhotra et al	14	unknown	unknown	unknown	hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-305/2021,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-1020/2021,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-10158/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-13077/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-10599/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-14246/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-13788/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-14797/2022,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-20/2023,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-2943/2023,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-474/2023,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-1128/2023,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-1436/2023,hCoV-19/India/RJ-SMS-ICMR-INSACOG-US-3318/2023
Mohamed G Seadawy et al	1	unknown	unknown	unknown	hCoV-19/Egypt/Delta006/2021
Dimas Tadeu Covas et al	13	unknown	unknown	unknown	hCoV-19/Brazil/SP-IB_21_127606/2021,hCoV-19/Brazil/SP-IB_124771/2021,hCoV-19/Brazil/SP-IB_138151/2021,hCoV-19/Brazil/SP-IB_110112/2021,hCoV-19/Brazil/SP-IB_103097/2021,hCoV-19/Brazil/SP-IB_RP84625/2021,hCoV-19/Brazil/SP-IB_122561/2021,hCoV-19/Brazil/SP-IB_145734/2021,hCoV-19/Brazil/SP-IB_SEQ48753/2022,hCoV-19/Brazil/SP-IB_152160/2022,hCoV-19/Brazil/SP-IB_CEVC_2202141/2022,hCoV-19/Brazil/SP-IB_160300/2022,hCoV-19/Brazil/SP-IB_159204/2022
Dr. Nanaocha Sharma et al	1	unknown	unknown	unknown	hCoV-19/India/NL-IBSD-KHM-P2-351/2021
Weihua Huang et al	1	unknown	unknown	unknown	hCoV-19/USA/NC-ECU-111139917/2021
Sarah Cockerton et al	3	unknown	unknown	unknown	hCoV-19/NewZealand/22MV0146/2021,hCoV-19/NewZealand/23YA2924/2023,hCoV-19/NewZealand/23ZA2001/2023
Chenwei Wang on behalf of Q-PHIRE Genomics et al	3	unknown	unknown	unknown	hCoV-19/Australia/QLD-NSW-2239/2021,hCoV-19/Australia/QLD0x014AD0/2024,hCoV-19/Australia/QLD0x0134BD/2023
Kawser et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/ideSHi-076/2021
Deogratius Ssemwanga et al	1	unknown	unknown	unknown	hCoV-19/Uganda/MRC-UVRI-UVRI403718/2021
Sahra Mohamed et al	1	unknown	unknown	unknown	hCoV-19/Somalia/barcode70/2021
Zhichao liang et al	1	unknown	unknown	unknown	hCoV-19/Beijing/BJCDC-082/2021
Abe G Abias et al	1	unknown	unknown	unknown	hCoV-19/SouthSudan/UG1165/2021
Rodrigo Guarischi et al	7	unknown	unknown	unknown	hCoV-19/Brazil/ES-NVBS6159GENOV700940939360/2021,hCoV-19/Brazil/RJ-NVBS6295GENOV828103874874/2021,hCoV-19/Brazil/SP-NVBS14477GENOV828752651963/2022,hCoV-19/Brazil/SP-NVBS26052GENOV852191877196/2022,hCoV-19/Brazil/PE-NVBS25371GENOV852048815029/2022,hCoV-19/Brazil/SC-NVBS24645GENOV044922989784/2022,hCoV-19/Brazil/SP-NVBS24430GENOV829798863044/2022
on behalf of the Fiocruz COVID-19 Genomic Surveillance Network et al	1	unknown	unknown	unknown	hCoV-19/Brazil/MG-FIOCRUZ-AR-295/2021
Fabio Miyajima et al	7	unknown	unknown	unknown	hCoV-19/Brazil/CE-FIOCRUZ-32165CE/2021,hCoV-19/Brazil/CE-FIOCRUZ-00757/2021,hCoV-19/Brazil/CE-FIOCRUZ-14129/2021,hCoV-19/Brazil/CE-FIOCRUZ-109108CE/2022,hCoV-19/Brazil/CE-FIOCRUZ-128001CE/2022,hCoV-19/Brazil/CE-FIOCRUZ-175049CE/2023,hCoV-19/Brazil/CE-FIOCRUZ-177347CE/2023
Mitzi Castro et al	2	unknown	unknown	unknown	hCoV-19/Honduras/1292739/2021,hCoV-19/Honduras/481946-ICGES/2021
Ajeet Bains et al	1	unknown	unknown	unknown	hCoV-19/USA/AZ-ASU20259/2021
Priya Nurkurthy et al	1	unknown	unknown	unknown	hCoV-19/India/AP-CCMB-CIB4635/2021
Anu Raghunathan et al	3	unknown	unknown	unknown	hCoV-19/India/MH-RF-NCL-Pune-NCL-657/2021,hCoV-19/India/MH-Pune-INSACOG_RF_WT-NCL-4732/2022,hCoV-19/India/MH-INSACOG-RF-WT-NCL-5088/2023
Sana Ferjani et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/48857/2021
Asma Themlaoui et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/HAO-38557/2021
Vololoniaina Raharinosy et al	4	unknown	unknown	unknown	hCoV-19/Madagascar/LA2M-177385/2021,hCoV-19/Madagascar/IPM-12062/2021,hCoV-19/Madagascar/LA2M-208352/2022,hCoV-19/Madagascar/LA2M-208502/2022
Ellango Ramasamy et al	1	unknown	unknown	unknown	hCoV-19/India/KA-NIMH-SEQ-3456/2021
Gasich Elena et al	2	unknown	unknown	unknown	hCoV-19/Belarus/MA-CRIE-7713246512/2021,hCoV-19/Belarus/HM-CRIE-L219T0034u/2021
Vladimir A. Gushchin et al	10	unknown	unknown	unknown	hCoV-19/Russia/MOW-PMVL-DZ-4133493/2021,hCoV-19/Russia/MOW-PMVL-DZ-36122727399/2022,hCoV-19/Russia/MOW-PMVL-DZ-20277062949/2021,hCoV-19/Russia/MOW-PMVL-DZ-19526940928/2021,hCoV-19/Russia/MOW-PMVL-DZ-29510550476/2021,hCoV-19/Russia/MOW-PMVL-DZ-38976621882/2022,hCoV-19/Russia/MOW-PMVL-DZ-30789354420/2021,hCoV-19/Russia/MOW-PMVL-DZ-40178101095/2022,hCoV-19/Russia/MOW-PMVL-DZ-52883346912/2022,hCoV-19/Russia/MOW-PMVL-DZ-39857698496/2022
